Region,Year,Population-Weighted PM2.5 [ug/m3],Geographic-Mean PM2.5 [ug/m3],Population Coverage [%],Geographic Coverage [%],Total Population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Nagaland,2022,21.5,20.8,100.0,100.0,1.989,100.0,100.0,100.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCT of Delhi,1998,72.0,70.8,100.0,100.0,13.397,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.3
NCT of Delhi,1999,70.4,69.5,100.0,100.0,13.397,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.1
NCT of Delhi,2000,79.0,78.2,100.0,100.0,13.397,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2001,82.2,81.4,100.0,100.0,13.670,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2002,88.3,88.0,100.0,100.0,13.943,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2003,98.5,97.1,100.0,100.0,14.216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2004,92.5,91.7,100.0,100.0,14.489,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2005,88.5,87.5,100.0,100.0,14.762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2006,84.1,83.6,100.0,100.0,15.033,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2007,92.2,91.7,100.0,100.0,15.305,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2008,102.3,101.2,100.0,100.0,15.576,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2009,94.4,93.3,100.0,100.0,15.848,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2010,113.8,112.8,100.0,100.0,16.119,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2011,119.7,118.1,100.0,100.0,16.382,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2012,101.8,100.6,100.0,100.0,16.645,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2013,102.6,100.8,100.0,100.0,16.908,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2014,98.8,97.2,100.0,100.0,17.171,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2015,100.6,99.0,100.0,100.0,17.434,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2016,117.1,115.7,100.0,100.0,17.699,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2017,114.4,112.5,100.0,100.0,17.964,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2018,113.8,111.7,100.0,100.0,18.229,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2019,105.3,103.7,100.0,100.0,18.494,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2020,97.7,96.7,100.0,100.0,18.759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2021,106.6,105.4,100.0,100.0,18.759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NCT of Delhi,2022,99.1,98.2,100.0,100.0,18.759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Odisha,1998,22.9,22.6,100.0,99.4,37.930,100.0,99.6,94.3,29.6,11.4,4.2,0.7,0.0,0.0,0.0,0.0
Odisha,1999,25.0,24.2,100.0,99.4,37.930,100.0,100.0,96.2,46.8,18.8,5.8,1.0,0.0,0.0,0.0,0.0
Odisha,2000,25.3,24.7,100.0,99.4,37.930,100.0,100.0,98.0,53.9,19.1,2.7,0.0,0.0,0.0,0.0,0.0
Odisha,2001,29.0,29.1,100.0,99.4,38.464,100.0,100.0,99.8,75.9,37.8,17.3,3.9,0.0,0.0,0.0,0.0
Odisha,2002,30.4,30.3,100.0,99.4,38.997,100.0,100.0,99.9,82.6,50.9,22.2,6.1,0.2,0.0,0.0,0.0
Odisha,2003,31.3,31.3,100.0,99.4,39.531,100.0,100.0,100.0,85.6,55.0,26.8,9.0,1.0,0.0,0.0,0.0
Odisha,2004,33.2,33.0,100.0,99.4,40.065,100.0,100.0,100.0,88.2,72.3,33.5,16.0,4.7,0.2,0.0,0.0
Odisha,2005,33.3,33.1,100.0,99.4,40.599,100.0,100.0,100.0,90.4,74.7,35.2,15.1,3.0,0.1,0.0,0.0
Odisha,2006,35.6,34.6,100.0,99.4,41.076,100.0,100.0,100.0,95.4,82.1,61.0,21.8,5.1,0.4,0.0,0.0
Odisha,2007,37.0,36.6,100.0,99.4,41.553,100.0,100.0,100.0,96.8,84.3,63.3,28.9,15.0,3.8,0.4,0.0
Odisha,2008,42.5,41.5,100.0,99.4,42.030,100.0,100.0,100.0,98.7,95.3,83.8,68.3,33.6,15.4,4.5,0.7
Odisha,2009,40.1,38.9,100.0,99.4,42.507,100.0,100.0,100.0,97.9,93.6,77.3,50.5,25.1,8.7,1.0,0.0
Odisha,2010,37.2,36.4,100.0,99.4,42.985,100.0,100.0,100.0,95.9,84.0,66.2,34.0,13.7,1.8,0.0,0.0
Odisha,2011,42.2,41.4,100.0,99.4,43.388,100.0,100.0,100.0,99.0,95.3,83.0,61.6,34.0,16.8,5.5,0.9
Odisha,2012,38.5,37.4,100.0,99.4,43.792,100.0,100.0,100.0,96.8,87.9,72.2,37.0,18.8,6.2,1.0,0.1
Odisha,2013,40.1,39.1,100.0,99.4,44.196,100.0,100.0,100.0,97.1,88.2,76.3,50.2,24.7,13.7,3.5,0.2
Odisha,2014,43.0,41.6,100.0,99.4,44.600,100.0,100.0,100.0,98.8,95.5,84.3,70.5,38.6,17.2,5.7,0.8
Odisha,2015,41.8,41.4,100.0,99.4,45.004,100.0,100.0,100.0,98.8,93.6,82.0,61.1,29.8,16.9,5.5,0.6
Odisha,2016,40.3,39.3,100.0,99.4,45.365,100.0,100.0,100.0,96.8,87.4,75.7,50.2,24.2,14.4,5.6,1.1
Odisha,2017,42.0,40.7,100.0,99.4,45.726,100.0,100.0,100.0,98.3,94.4,83.0,62.8,30.7,15.7,5.0,1.0
Odisha,2018,42.9,41.5,100.0,99.4,46.087,100.0,100.0,100.0,99.3,95.6,84.8,68.2,36.5,17.3,5.0,0.9
Odisha,2019,42.3,41.0,100.0,99.4,46.448,100.0,100.0,100.0,98.8,95.3,85.0,65.0,31.2,15.9,4.9,1.0
Odisha,2020,42.7,41.2,100.0,99.4,46.810,100.0,100.0,100.0,97.3,92.9,82.0,69.6,32.0,18.8,8.7,2.9
Odisha,2021,44.2,43.3,100.0,99.4,46.810,100.0,100.0,100.0,99.4,96.0,85.4,71.4,39.8,22.4,13.4,4.8
Odisha,2022,34.9,34.7,100.0,99.4,46.810,100.0,100.0,100.0,95.3,78.2,37.9,21.9,13.7,4.2,0.6,0.0
Puducherry,1998,17.3,17.8,100.0,100.0,0.837,100.0,91.8,74.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,1999,19.9,20.2,100.0,100.0,0.837,100.0,94.2,74.4,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2000,20.9,21.3,100.0,100.0,0.837,100.0,100.0,74.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2001,22.3,22.5,100.0,100.0,0.853,100.0,100.0,75.7,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2002,21.9,22.2,100.0,100.0,0.869,100.0,100.0,76.6,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2003,23.0,23.0,100.0,100.0,0.884,100.0,100.0,99.1,53.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2004,23.6,23.4,100.0,100.0,0.900,100.0,100.0,99.8,59.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2005,25.6,25.2,100.0,100.0,0.916,100.0,100.0,96.2,75.4,6.7,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2006,24.1,24.0,100.0,100.0,0.931,100.0,100.0,100.0,72.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2007,26.3,26.1,100.0,100.0,0.947,100.0,100.0,100.0,76.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2008,26.2,26.1,100.0,100.0,0.962,100.0,100.0,100.0,76.9,2.7,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2009,26.7,26.5,100.0,100.0,0.977,100.0,100.0,100.0,77.2,10.3,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2010,25.2,25.0,100.0,100.0,0.993,100.0,100.0,100.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2011,24.8,24.7,100.0,100.0,1.007,100.0,100.0,100.0,72.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2012,25.4,25.1,100.0,100.0,1.022,100.0,100.0,100.0,77.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2013,24.3,24.3,100.0,100.0,1.037,100.0,100.0,100.0,75.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2014,27.0,27.1,100.0,100.0,1.052,100.0,100.0,100.0,78.7,10.5,0.9,0.0,0.0,0.0,0.0,0.0
Puducherry,2015,22.1,22.2,100.0,100.0,1.066,100.0,100.0,100.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2016,27.1,26.6,100.0,100.0,1.081,100.0,100.0,100.0,79.3,17.7,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2017,27.6,27.4,100.0,100.0,1.096,100.0,100.0,100.0,79.6,18.0,0.4,0.0,0.0,0.0,0.0,0.0
Puducherry,2018,29.8,29.5,100.0,100.0,1.111,100.0,100.0,100.0,79.9,70.4,1.4,0.0,0.0,0.0,0.0,0.0
Puducherry,2019,24.4,24.2,100.0,100.0,1.126,100.0,100.0,100.0,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2020,23.6,23.7,100.0,100.0,1.140,100.0,100.0,100.0,19.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2021,25.6,25.3,100.0,100.0,1.140,100.0,100.0,100.0,60.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,2022,24.6,24.3,100.0,100.0,1.140,100.0,100.0,100.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,1998,40.0,40.1,100.0,100.0,25.076,100.0,100.0,100.0,97.0,92.1,85.5,67.6,5.3,0.0,0.0,0.0
Punjab,1999,40.7,41.0,100.0,100.0,25.076,100.0,100.0,100.0,96.6,91.4,84.8,70.7,23.7,0.0,0.0,0.0
Punjab,2000,47.1,47.3,100.0,100.0,25.076,100.0,100.0,100.0,99.1,97.8,93.4,86.6,75.2,38.3,1.1,0.0
Punjab,2001,49.3,49.6,100.0,100.0,25.425,100.0,100.0,100.0,99.6,98.4,94.5,87.7,79.1,62.0,15.8,0.7
Punjab,2002,52.8,53.4,100.0,100.0,25.775,100.0,100.0,100.0,99.5,98.5,95.1,89.3,83.8,73.7,50.2,13.1
Punjab,2003,56.8,57.4,100.0,100.0,26.124,100.0,100.0,100.0,99.8,98.8,97.1,93.3,87.2,80.9,68.2,47.1
Punjab,2004,57.7,58.0,100.0,100.0,26.474,100.0,100.0,100.0,99.7,98.9,97.4,93.8,88.8,83.4,74.2,52.8
Punjab,2005,55.6,55.7,100.0,100.0,26.823,100.0,100.0,100.0,99.7,99.0,97.6,93.5,87.5,82.0,66.4,32.2
Punjab,2006,54.3,54.6,100.0,100.0,27.137,100.0,100.0,100.0,99.8,98.9,97.2,92.7,86.2,78.7,63.2,20.0
Punjab,2007,57.8,58.1,100.0,100.0,27.450,100.0,100.0,100.0,100.0,99.2,98.3,94.7,88.5,83.1,73.7,55.1
Punjab,2008,62.5,62.5,100.0,100.0,27.763,100.0,100.0,100.0,99.9,99.3,98.6,96.9,93.7,88.8,83.4,73.0
Punjab,2009,58.8,58.8,100.0,100.0,28.076,100.0,100.0,100.0,99.8,99.1,98.1,94.8,90.5,84.9,76.9,56.3
Punjab,2010,67.0,67.8,100.0,100.0,28.389,100.0,100.0,100.0,100.0,99.4,98.8,97.1,94.1,90.4,84.8,77.9
Punjab,2011,66.8,66.7,100.0,100.0,28.656,100.0,100.0,100.0,100.0,99.5,99.0,97.8,94.7,91.7,86.8,78.5
Punjab,2012,60.9,60.8,100.0,100.0,28.922,100.0,100.0,100.0,100.0,99.4,98.8,97.2,94.0,90.4,84.4,60.0
Punjab,2013,62.2,61.8,100.0,100.0,29.189,100.0,100.0,100.0,100.0,99.7,99.1,97.7,93.9,90.3,84.4,71.7
Punjab,2014,60.4,60.2,100.0,100.0,29.455,100.0,100.0,100.0,100.0,99.6,99.0,96.9,93.0,89.4,82.1,67.2
Punjab,2015,63.9,63.7,100.0,100.0,29.722,100.0,100.0,100.0,100.0,99.7,99.2,98.2,95.0,91.5,86.9,78.6
Punjab,2016,69.3,68.7,100.0,100.0,29.962,100.0,100.0,100.0,100.0,99.9,99.6,99.2,98.4,95.9,92.5,86.2
Punjab,2017,65.9,65.3,100.0,100.0,30.201,100.0,100.0,100.0,100.0,99.7,99.2,98.4,96.2,92.8,89.3,81.0
Punjab,2018,68.4,68.0,100.0,100.0,30.441,100.0,100.0,100.0,100.0,99.9,99.4,99.1,98.0,94.7,90.7,83.7
Punjab,2019,60.7,60.2,100.0,100.0,30.681,100.0,100.0,100.0,100.0,99.5,99.0,97.4,94.0,90.8,83.7,66.2
Punjab,2020,61.9,61.5,100.0,100.0,30.921,100.0,100.0,100.0,100.0,99.6,99.1,98.0,94.7,90.5,84.1,73.1
Punjab,2021,67.5,67.3,100.0,100.0,30.921,100.0,100.0,100.0,100.0,99.9,99.4,98.9,97.5,93.9,88.8,83.3
Punjab,2022,62.0,61.6,100.0,100.0,30.921,100.0,100.0,100.0,100.0,99.7,99.3,98.5,94.7,91.3,86.0,74.8
Rajasthan,1998,41.1,42.0,100.0,100.0,57.866,100.0,100.0,100.0,97.4,86.9,72.6,52.9,34.2,16.4,8.7,3.2
Rajasthan,1999,42.7,43.9,100.0,100.0,57.866,100.0,100.0,100.0,98.2,90.5,79.1,61.5,40.8,21.1,10.1,4.1
Rajasthan,2000,43.2,44.7,100.0,100.0,57.866,100.0,100.0,100.0,98.8,92.8,80.8,63.0,44.2,21.9,9.0,3.5
Rajasthan,2001,48.8,49.9,100.0,100.0,59.062,100.0,100.0,100.0,100.0,99.6,91.7,82.6,68.7,46.9,23.1,9.8
Rajasthan,2002,53.8,54.9,100.0,100.0,60.258,100.0,100.0,100.0,100.0,100.0,98.0,88.4,80.7,67.7,48.1,26.6
Rajasthan,2003,55.3,55.9,100.0,100.0,61.454,100.0,100.0,100.0,100.0,100.0,99.8,92.9,84.7,75.3,54.8,30.6
Rajasthan,2004,54.4,56.0,100.0,100.0,62.651,100.0,100.0,100.0,100.0,100.0,99.6,91.2,83.2,70.7,49.6,26.1
Rajasthan,2005,52.0,52.9,100.0,100.0,63.847,100.0,100.0,100.0,100.0,100.0,98.5,89.0,78.2,61.4,39.9,14.4
Rajasthan,2006,53.4,55.0,100.0,100.0,65.021,100.0,100.0,100.0,100.0,100.0,99.9,93.9,82.7,68.2,45.1,19.6
Rajasthan,2007,52.8,53.1,100.0,100.0,66.195,100.0,100.0,100.0,100.0,100.0,99.4,90.7,79.7,63.0,44.8,17.2
Rajasthan,2008,56.9,56.5,100.0,100.0,67.369,100.0,100.0,100.0,100.0,100.0,100.0,98.8,90.6,75.3,56.7,36.2
Rajasthan,2009,56.3,57.3,100.0,100.0,68.543,100.0,100.0,100.0,100.0,100.0,100.0,97.8,87.7,76.3,57.7,35.6
Rajasthan,2010,59.3,59.0,100.0,100.0,69.717,100.0,100.0,100.0,100.0,100.0,99.9,97.5,88.2,80.3,72.1,51.9
Rajasthan,2011,58.0,56.7,100.0,100.0,70.837,100.0,100.0,100.0,100.0,100.0,100.0,99.5,93.9,84.5,62.3,36.7
Rajasthan,2012,59.2,59.2,100.0,100.0,71.958,100.0,100.0,100.0,100.0,100.0,100.0,99.9,97.0,88.6,68.0,44.6
Rajasthan,2013,56.8,56.4,100.0,100.0,73.078,100.0,100.0,100.0,100.0,100.0,99.9,97.5,89.9,80.9,59.3,35.7
Rajasthan,2014,54.9,55.4,100.0,100.0,74.198,100.0,100.0,100.0,100.0,100.0,100.0,97.6,87.6,72.4,52.8,24.8
Rajasthan,2015,58.2,59.8,100.0,100.0,75.318,100.0,100.0,100.0,100.0,100.0,99.9,97.3,88.0,78.2,66.2,46.1
Rajasthan,2016,55.6,54.7,100.0,100.0,76.429,100.0,100.0,100.0,100.0,100.0,99.6,94.3,84.6,73.0,51.3,27.8
Rajasthan,2017,57.1,56.4,100.0,100.0,77.541,100.0,100.0,100.0,100.0,100.0,99.9,99.0,93.0,78.7,54.2,30.9
Rajasthan,2018,60.1,61.2,100.0,100.0,78.652,100.0,100.0,100.0,100.0,100.0,100.0,99.6,92.9,83.5,67.0,47.4
Rajasthan,2019,58.1,56.1,100.0,100.0,79.763,100.0,100.0,100.0,100.0,100.0,100.0,98.9,93.5,77.8,56.9,35.3
Rajasthan,2020,55.2,53.9,100.0,100.0,80.874,100.0,100.0,100.0,100.0,100.0,99.7,95.8,85.8,67.7,46.6,27.5
Rajasthan,2021,59.2,57.9,100.0,100.0,80.874,100.0,100.0,100.0,100.0,100.0,100.0,99.4,95.0,82.5,67.0,43.7
Rajasthan,2022,54.2,54.4,100.0,100.0,80.874,100.0,100.0,100.0,100.0,100.0,99.9,97.4,86.1,64.5,45.3,22.3
Sikkim,1998,23.2,19.8,100.0,100.0,0.547,100.0,100.0,93.3,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,1999,23.8,20.3,100.0,100.0,0.547,100.0,100.0,93.7,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,2000,31.3,28.5,100.0,100.0,0.547,100.0,100.0,100.0,82.8,68.4,37.6,0.0,0.0,0.0,0.0,0.0
Sikkim,2001,35.2,32.9,100.0,100.0,0.554,100.0,100.0,100.0,86.6,76.6,57.1,37.1,0.0,0.0,0.0,0.0
Sikkim,2002,33.9,30.8,100.0,100.0,0.561,100.0,100.0,100.0,85.7,74.9,49.6,25.8,0.0,0.0,0.0,0.0
Sikkim,2003,35.8,31.9,100.0,100.0,0.568,100.0,100.0,100.0,88.8,78.7,53.5,41.3,0.7,0.0,0.0,0.0
Sikkim,2004,35.0,30.8,100.0,100.0,0.575,100.0,100.0,100.0,85.4,75.6,48.4,36.8,7.4,0.0,0.0,0.0
Sikkim,2005,35.2,30.7,100.0,100.0,0.582,100.0,100.0,100.0,90.9,73.1,51.0,36.5,4.1,0.0,0.0,0.0
Sikkim,2006,36.2,31.1,100.0,100.0,0.589,100.0,100.0,100.0,92.1,68.6,53.2,41.7,18.3,0.1,0.0,0.0
Sikkim,2007,36.9,30.0,100.0,100.0,0.595,100.0,100.0,100.0,90.7,69.8,54.4,44.9,28.4,0.0,0.0,0.0
Sikkim,2008,37.2,31.8,100.0,100.0,0.601,100.0,100.0,100.0,90.9,79.1,54.9,45.7,27.5,0.0,0.0,0.0
Sikkim,2009,42.2,36.4,100.0,100.0,0.607,100.0,100.0,100.0,97.3,89.0,71.5,54.9,45.5,31.0,5.3,0.0
Sikkim,2010,36.8,33.6,100.0,100.0,0.613,100.0,100.0,100.0,93.7,82.9,55.0,42.9,13.4,0.0,0.0,0.0
Sikkim,2011,39.5,35.6,100.0,100.0,0.619,100.0,100.0,100.0,93.1,84.5,64.6,49.0,37.9,10.1,0.0,0.0
Sikkim,2012,38.4,35.2,100.0,100.0,0.624,100.0,100.0,100.0,95.8,88.1,65.7,48.9,22.2,0.0,0.0,0.0
Sikkim,2013,35.4,31.7,100.0,100.0,0.629,100.0,100.0,100.0,91.1,79.6,51.2,37.1,0.0,0.0,0.0,0.0
Sikkim,2014,39.8,35.6,100.0,100.0,0.634,100.0,100.0,100.0,92.6,84.5,73.8,49.3,40.0,10.7,0.0,0.0
Sikkim,2015,41.6,37.4,100.0,100.0,0.639,100.0,100.0,100.0,94.4,86.0,77.4,58.7,44.3,26.6,0.0,0.0
Sikkim,2016,38.3,34.2,100.0,100.0,0.643,100.0,100.0,100.0,88.0,80.5,59.2,46.9,35.9,3.5,0.0,0.0
Sikkim,2017,38.6,31.9,100.0,100.0,0.648,100.0,100.0,100.0,90.5,82.0,56.1,48.4,38.0,12.4,0.0,0.0
Sikkim,2018,42.4,36.0,100.0,100.0,0.652,100.0,100.0,100.0,98.4,89.5,79.2,53.9,45.3,30.0,3.3,0.0
Sikkim,2019,39.2,31.7,100.0,100.0,0.657,100.0,100.0,100.0,90.9,82.2,61.4,47.1,37.5,16.2,0.0,0.0
Sikkim,2020,39.5,31.9,100.0,100.0,0.661,100.0,100.0,100.0,91.0,81.8,57.6,50.5,42.8,22.4,0.0,0.0
Sikkim,2021,39.1,33.4,100.0,100.0,0.661,100.0,100.0,100.0,89.6,80.3,60.2,48.0,38.8,17.6,0.0,0.0
Sikkim,2022,34.4,29.1,100.0,100.0,0.661,100.0,100.0,100.0,81.9,64.2,48.5,39.4,13.4,0.0,0.0,0.0
Tamil Nadu,1998,18.2,17.5,100.0,100.0,64.266,100.0,97.5,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,1999,20.7,19.7,100.0,100.0,64.266,100.0,97.8,88.2,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2000,21.7,20.9,100.0,100.0,64.266,100.0,98.3,93.5,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2001,24.5,23.9,100.0,100.0,65.253,100.0,99.0,97.5,57.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2002,23.1,22.5,100.0,100.0,66.241,100.0,99.5,97.1,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2003,23.8,23.0,100.0,100.0,67.228,100.0,99.5,97.8,34.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2004,25.1,24.5,100.0,100.0,68.215,100.0,99.8,98.3,61.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2005,27.1,26.3,100.0,100.0,69.203,100.0,99.7,98.3,80.7,22.3,0.3,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2006,25.9,25.1,100.0,100.0,70.119,100.0,99.9,98.4,67.4,11.6,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2007,27.5,26.3,100.0,100.0,71.035,100.0,99.7,98.3,80.4,24.8,3.6,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2008,28.3,27.3,100.0,100.0,71.951,100.0,100.0,98.6,87.3,31.7,3.2,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2009,28.3,27.1,100.0,100.0,72.867,100.0,100.0,98.4,85.0,32.6,6.2,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2010,28.3,27.4,100.0,100.0,73.783,100.0,100.0,98.5,88.6,30.8,1.2,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2011,29.2,28.4,100.0,100.0,74.601,100.0,100.0,99.0,91.6,43.9,4.5,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2012,27.8,26.7,100.0,100.0,75.419,100.0,100.0,98.7,82.8,27.4,3.5,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2013,25.9,24.6,100.0,100.0,76.237,100.0,99.5,98.1,63.2,13.5,0.8,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2014,27.9,26.5,100.0,100.0,77.055,100.0,99.9,98.7,81.8,26.6,7.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2015,23.4,22.5,100.0,100.0,77.873,100.0,99.8,98.1,30.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2016,28.2,26.5,100.0,100.0,78.646,100.0,100.0,98.8,81.0,27.3,8.8,0.5,0.0,0.0,0.0,0.0
Tamil Nadu,2017,29.2,27.7,100.0,100.0,79.420,100.0,100.0,98.8,88.8,37.7,9.8,0.3,0.0,0.0,0.0,0.0
Tamil Nadu,2018,31.3,29.8,100.0,100.0,80.193,100.0,100.0,99.4,93.2,64.7,18.5,3.9,0.0,0.0,0.0,0.0
Tamil Nadu,2019,26.1,24.6,100.0,100.0,80.966,100.0,99.7,98.3,63.8,14.1,5.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2020,24.9,23.6,100.0,100.0,81.740,100.0,99.6,98.0,50.8,8.7,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2021,27.1,25.8,100.0,100.0,81.740,100.0,100.0,99.0,74.2,20.2,4.7,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,2022,27.1,25.7,100.0,100.0,81.740,100.0,100.0,98.9,73.8,22.3,6.1,0.0,0.0,0.0,0.0,0.0
Telangana,1998,19.4,18.4,100.0,99.8,32.035,100.0,100.0,95.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,1999,21.2,20.6,100.0,99.8,32.035,100.0,100.0,98.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2000,22.7,21.7,100.0,99.8,32.035,100.0,100.0,99.9,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2001,25.0,24.3,100.0,99.8,32.459,100.0,100.0,100.0,51.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2002,25.3,24.4,100.0,99.8,32.883,100.0,100.0,100.0,55.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2003,26.4,25.4,100.0,99.8,33.307,100.0,100.0,100.0,68.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2004,26.9,26.0,100.0,99.8,33.731,100.0,100.0,100.0,72.7,13.6,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,2005,28.6,27.4,100.0,99.8,34.155,100.0,100.0,100.0,92.8,30.9,0.2,0.0,0.0,0.0,0.0,0.0
Telangana,2006,30.2,28.8,100.0,99.8,34.547,100.0,100.0,100.0,98.8,49.2,8.0,0.0,0.0,0.0,0.0,0.0
Telangana,2007,31.6,30.1,100.0,99.8,34.939,100.0,100.0,100.0,99.7,66.1,15.9,0.0,0.0,0.0,0.0,0.0
